id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
759206	000000000000000000004fc3afeda5dc86d27c0af365d3cb6bd77da785f19b14	2022-10-18 09:55:02	2022-10-18 08:18:12	1578487	804856	3993055	538968064	20200000	100000001000000000000000000000	e375bdd104ddb833967ef8af664752b66d93bcd0e2f85136e9ae1d56eb547d6c	3053834067	386393970	35610794164372	00000000000000000000000000000000000000003767e8344f112304b303d356	03a6950b04f6774e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f08b4acdb000064bb3a340000	3433	2965	7337	9017	4202135062038	821240896	4202760062038	821363072	14597697	2852.8892	9249.662	1.8078	3656.7717	0.7147	24772.163872467	625000000	122146.375	639597697	124999.2656	Foundry USA Pool
759207	00000000000000000001a7463251acb55d47f56a87d2acb49c642a0dc854f411	2022-10-18 10:01:03	2022-10-18 08:26:55	1478264	838242	3992990	536895492	20006004	100000000000000110000000000100	1c4f685ec14b1de666a506db348191693732adc115dbb329e7692ef227b0764b	2840077748	386393970	35610794164372	000000000000000000000000000000000000000037680897b8310cb841e39ab0	03a7950b0460794e632f53424943727970746f2e636f6d20506f6f6c2f043fdad1f2363e0000000000	2989	2260	6865	7850	406552930044	79454344	407177930044	79576496	10851436	2120.7417	7342.097	1.4349	2718.3352	0.5312	55181.698382837	625000000	122146.375	635851436	124267.1172	SBICrypto
759208	00000000000000000004f005cd1cde8ce6c6b1c47de5978478b657e7b3b7cb6a	2022-10-18 10:43:12	2022-10-18 08:31:23	1438210	851620	3993070	536870912	20000000	100000000000000000000000000000	74e6cc39b13c275d812014ec020e5a5504071b7fbe8016079328adb8550e911d	3336665097	386393970	35610794164372	0000000000000000000000000000000000000000376828fb2150f66bd0c3620a	03a8950b0441834e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f1d7d49527cb4a30100000000	3348	2784	6645	9834	1353057265872	264433664	1353682265872	264555808	24622464	4812.0718	17123.787	3.3466	6167.986	1.2054	10181.709064912	625000000	122146.375	649622464	126958.4453	Foundry USA Pool
759209	00000000000000000003533ce871dc9d7a9f90aba72bbf9e2e0351e48270ef61	2022-10-18 10:47:35	2022-10-18 09:01:22	1392621	866946	3993459	1073676288	3fff0000	111111111111110000000000000000	0a4e0cb10405c7c87872a1b3f5dd16ca6a13cd1cb09fb2b5dc9a251156055ea3	3546933832	386393970	35610794164372	00000000000000000000000000000000000000003768495e8a70e01f5fa32964	03a9950b1c2f5669614254432f4d696e6564206279207261686d616e343330312f2cfabe6d6d8a33ae7116cd07d81e3d2f591290f3a61428c29ae81bcea3d186aa034d367ac210000000000000001024386a00a8fdc72ca91107300610000000000000	2669	2236	6979	6703	2948271253754	576193024	2948896253754	576315200	12429241	2429.0989	8927.647	1.7448	3113.5693	0.6086	21509.427862594	625000000	122146.375	637429241	124575.4766	ViaBTC
759210	000000000000000000043e351b5254ccbcb65563eb43e8583990a323f4d8d609	2022-10-18 10:55:16	2022-10-18 09:44:35	1497278	832074	3993500	536870912	20000000	100000000000000000000000000000	82902175f9258ed7d25af4cd9975a65719c3dab91cbc55b79c377567273a92f7	3444714489	386393970	35610794164372	0000000000000000000000000000000000000000376869c1f390c9d2ee82f0be	03aa950b1b4d696e656420627920416e74506f6f6c3838319300ab02b12b9082fabe6d6d2fb67a5119019d0521dbc81945498a1b1dd4ab8d9a01a85727ad70b217439a6c04000000000000000000931d0abb1a0200000000	2699	2212	7549	6510	1375433551503	268806752	1376058551503	268928896	11918087	2329.2019	7962.1543	1.556	2985.5945	0.5836	38563.084378797	625000000	122146.375	636918087	124475.5781	AntPool
759211	0000000000000000000246c8681fd63f3de97f8d1022e10cc00e0d4bed8a4d67	2022-10-18 11:01:45	2022-10-18 09:55:02	1508508	828382	3993654	536879104	20002000	100000000000000010000000000000	57d5f65564faa352aba7a948927a3fc891809774aa8bfa204214e12746069f04	3867459252	386393970	35610794164372	000000000000000000000000000000000000000037688a255cb0b3867d62b818	03ab950b1362696e616e63652f383935a8000100b3a8122b066a61786e6574201b3bf6cbca4286f70bb7dc187af7b55234ec7fcc66735062478c809b4585e344066a61786e6574976b000062a13c00	3366	2950	7615	7915	1626273639419	317829472	1626898639419	317951648	10140141	1981.7303	6724.022	1.3141	2540.1677	0.4964	26475.856964854	625000000	122146.375	635140141	124128.1016	Binance
759212	000000000000000000044cf83aa6c5d2612095a4292cb6a4c850f3e99b29b00b	2022-10-18 11:10:00	2022-10-18 10:01:03	1296706	898952	3993562	547356672	20a00000	100000101000000000000000000000	82b20fcdba87c7592dd87d18544eb6d83615dd442d279066cc5d1f07fb1802f4	3964839964	386393970	35610794164372	00000000000000000000000000000000000000003768aa88c5d09d3a0c427f72	03ac950b142f756c74696d75732f3738332000c900b69c4e23fabe6d6d1994c8b3632bdf935f6b6a1f021ec95d3e70c8b48345b95691ec5fb328e2059c02000000000000000000dc8be80b010000000000	1856	1518	6615	4710	1123311139355	219533408	1123936139355	219655552	10565696	2064.8984	8150.8013	1.593	2646.748	0.5173	10937.660426531	625000000	122146.375	635565696	124211.2734	Unknown
759213	00000000000000000001efad281db5d4b4d08992a5c5ab334fe8db1b4deec837	2022-10-18 11:43:20	2022-10-18 10:43:12	1506027	829189	3993594	671080448	27ffe000	100111111111111110000000000000	f0706452c6d97af2a0d29cdb288a029b819d2edfefa5b064b0ce9c91135b73b3	2828160725	386393970	35610794164372	00000000000000000000000000000000000000003768caec2ef086ed9b2246cc	03ad950b1362696e616e63652f38303493001f03c286ed23fabe6d6d67dc2272b2be5dd29d3a14384dd6929df2afaf98821d345f45fe70a7115360a90400000000000000000015760be4820000000000	3738	3211	6672	10777	3703642751814	723818432	3704267751814	723940608	21410200	4184.2852	14220.387	2.7791	5363.29	1.0481	177037.2812433	625000000	122146.375	646410200	126330.6562	Binance
759214	00000000000000000000575896ffb029b20615d6f056b42421a7a7c44bb496fd	2022-10-18 11:43:27	2022-10-18 10:47:35	1378211	871638	3993125	536952832	20014000	100000000000010100000000000000	3000b2f6c1260bae05857b32599e84e03675c321a819c8380e63dae2d9efa934	392413468	386393970	35610794164372	00000000000000000000000000000000000000003768eb4f981070a12a020e26	03ae950b182f5669614254432f4d696e6564206279206b616d6e65742f2cfabe6d6d851ab44adc0905eb24a38587be575f8cc038ff4b7071ed770566bb2e51e80a4c100000000000000010f8b48c1391f4b05c02528a52490d020000000000	2085	1753	6987	5411	243489334651	47586144	244114334651	47708288	8209084	1604.3358	5957.829	1.1644	2056.4617	0.4018	24907.648391211	625000000	122146.375	633209084	123750.7109	ViaBTC
759215	00000000000000000001c66ac6940dbbd2847adc896706e9c224a8bd0c07cf5b	2022-10-18 11:44:43	2022-10-18 10:55:16	1077915	971812	3993351	597467136	239ca000	100011100111001010000000000000	ed4fc77ad14885a424680e3fde423d90d06a0c743de73843a63cb6d40c187b13	2918664793	386393970	35610794164372	000000000000000000000000000000000000000037690bb301305a54b8e1d580	03af950b1b4d696e656420627920416e74506f6f6c383833b201b901c306403ffabe6d6db8418de0e6a101faca8d6faf1a9991a347275c0a1feb8fee308a7f836f7189e202000000000000000000f5424c3b000000000000	315	258	5763	725	19130497534	3738753.5	19755497534	3860899.75	6973276	1362.8167	6471.844	1.2649	1746.9374	0.3414	15469.025300693	625000000	122146.375	631973276	123509.1875	AntPool
759216	0000000000000000000076783f8bacd2169f6adf4b32588341195334c5ab6ca0	2022-10-18 11:55:27	2022-10-18 11:01:45	1293493	901609	3998320	1073676292	3fff0004	111111111111110000000000000100	b76a5f22e244a9fbb614caa4bc96b7d8be6d622f1b29bdb46a39198c67257a27	1158136299	386393970	35610794164372	000000000000000000000000000000000000000037692c166a50440847c19cda	03b0950b2cfabe6d6d39c4436ca52651790fe129adf382863d5ebed5d9e31969ac511f6ac39e98ef5710000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050020160000	2019	1647	6507	5240	930006536780	181755088	930631536780	181877232	12510863	2445.0505	9675.527	1.891	3130.3577	0.6117	16538.488542658	625000000	122146.375	637510863	124591.4219	F2Pool
759217	00000000000000000000d6ff30f6d1356640365b14d1bbb9a24f6158ec5d09b3	2022-10-18 12:28:19	2022-10-18 11:10:00	1361896	878787	3998257	671080452	27ffe004	100111111111111110000000000100	ac90c8dabc72b2af88a9bf0cbce2371f162603c4f0be785bfa6ce36f693c587f	2064675406	386393970	35610794164372	000000000000000000000000000000000000000037694c79d3702dbbd6a16434	03b1950b2cfabe6d6d0bc6d45b751029533c716930b3a3401f4723946f6760bed19ae60ab9ce0cc8ff10000000f09f909f092f4632506f6f6c2f7300000000000000000000000000000000000000000000000000000000000000000000000500c0ba0f63	2598	2145	6674	8574	997019516313	194851712	997644516313	194973856	25107471	4906.8584	18441.781	3.6042	6282.269	1.2277	7125.0876087828	625000000	122146.375	650107471	127053.2344	F2Pool
759218	00000000000000000000634522f80788557ea7793a95fcce2af36b1cce866355	2022-10-18 12:34:06	2022-10-18 11:43:20	1348586	883238	3998300	545259524	20800004	100000100000000000000000000100	453083b911cf39c7270513c82a931f79495c05ba117fd1550a92b8055cf349ab	2619227904	386393970	35610794164372	000000000000000000000000000000000000000037696cdd3c90176f65812b8e	03b2950b2cfabe6d6dfd12af8c05b0b32033e431444298c872a791c43f7069b9990af2bce83a2e44f910000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050095080000	2548	2170	6968	5984	2427984213277	474511136	2428609213277	474633312	14973009	2926.238	11106.461	2.1705	3746.4329	0.7321	30043.919109155	625000000	122146.375	639973009	125072.6094	F2Pool
759219	00000000000000000006fdeee44c8da72a7986cf54239ba286058b8fd8aa922b	2022-10-18 12:34:56	2022-10-18 11:43:27	1275729	905693	3992808	536870912	20000000	100000000000000000000000000000	ce2410545ddfe41bd7f851e80d06684a75fe51d70d2d0a1b4c47bd3ea183e539	2971311781	386393970	35610794164372	000000000000000000000000000000000000000037698d40a5b00122f460f2e8	03b3950b315c20506f7765726564206279204c75786f722054656368205c00000000b11916b783267e9f0067c9630096010000000000	1145	860	6653	6378	300564645205	58740612	301189645205	58862756	11492973	2246.1199	9011.1	1.7611	2879.2205	0.5627	3169.9884875188	625000000	122146.375	636492973	124392.4922	Unknown
