id;hash;time;median_time;size;stripped_size;weight;version;version_hex;version_bits;merkle_root;nonce;bits;difficulty;chainwork;coinbase_data_hex;transaction_count;witness_count;input_count;output_count;input_total;time_per_block;Столбец1;;;;17,00;;;;
759180;0000000000000000000096a4256c5590a8cc22592df2904adc7199120d8ceae2;5:27:00;18.10.2022 4:47;1556714;812283;3993563;536887296;20004000;1,00E+29;570bca2493ef12a696d2f6a8c43111879ba3b383bfd1c7aab6726596aba0f781;116070177;386393970;3,56E+13;000000000000000000000000000000000000000037649e1ba1d366c830499432;038c950b11627463636f6d383939930051033c387f71fabe6d6dc2a20223ffbfaaa65a88e3eb59b1503857eb083bd8c15a9c3989a0b570f0747b04000000000000000000711d0af6060100000000;2562;2061;7327;7992;1,55E+12;1,00;;;;;5,00;;;;
759181;000000000000000000033ea9cfde99962e5dca8f615c4c4de29fe1707855b02f;5:28:00;18.10.2022 4:53;1636768;787181;3998311;826179588;313e8004;1,10E+29;b870cc2b6e5973f596ebf027dfd784e59c7cf5aae77b0fcc619b96b42600f93a;2481040410;386393970;3,56E+13;00000000000000000000000000000000000000003764be7f0af3507bbf295b8c;038d950b2cfabe6d6d94b1012cad4a324b5b244e17849f6dd5767f43697aed7e7e0f7b60263543c86110000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050045000000;817;718;8286;6440;1,65E+11;5,00;;;;;8,00;;;;
759182;00000000000000000003762f02227ff13dbf5dbf1959378e1ce8f94b389e066e;5:33:00;18.10.2022 4:54;1092172;520799;2654569;805298176;2fffe000;1,01E+29;2badaf1cb0622d15b7fa3676e4e8c341e3c78d38275d1c308f623a2f3f16815b;160984942;386393970;3,56E+13;00000000000000000000000000000000000000003764dee274133a2f4e0922e6;038e950b192f5669614254432f4d696e656420627920706974776f726b2f2cfabe6d6d1a5f371bccbdeb11a240a00d4ead53fea32b2ce5cce1cf5381d12e5606bdf9ef100000000000000010bab17317ae2a4f5afbfb106478f41e0000000000;996;830;5505;3080;1,17E+11;8,00;;;;;4,00;;;;
759183;00000000000000000001bba395630ec4c04b84e22edf76565323614f52398fb6;5:41:00;18.10.2022 4:56;1131590;953975;3993515;536895488;20006000;1,00E+29;d5783a844481f4b661e46043c5106c1bcaf868f6f4c6147b287499f5916d614d;2279447242;386393970;3,56E+13;00000000000000000000000000000000000000003764ff45dd3323e2dce8ea40;038f950b1362696e616e63652f3834319300b5024130302dfabe6d6da875758cd81e133c7bcda0a1c694f360adedb0b5f0f1c63656f94d1c064d2b0604000000000000006e730000b8394e00;908;740;5787;3603;9,10E+11;4,00;;;;;14,00;;;;
759184;0000000000000000000361e26cddbc9b780b97a2ab5f4e33b5fee10178bec420;5:45:00;18.10.2022 4:59;1113670;961458;3998044;674283524;2830c004;1,01E+29;b0f81686a4c9c56bed49d47921afc99ec1448462573ea180ec1e0869c3946e85;1241342989;386393970;3,56E+13;000000000000000000000000000000000000000037651fa946530d966bc8b19a;0390950b2cfabe6d6d28c888896c2b14e018862e6322e7af2d834f19fc51f52574199a7c03bcc7d00210000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050063700c63;414;335;6140;1048;54545394569;14,00;;;;;9,00;;;;
759185;00000000000000000004dc9e64a2a68bff347937e3229bafa0d6f4234ac5f6c1;5:59:00;18.10.2022 5:27;1289279;901184;3992831;541065216;20400000;1,00E+29;fadd579c00204bafeff730e3551f369b617f1ea9b1c10c89e77883eb38729ae2;888216728;386393970;3,56E+13;00000000000000000000000000000000000000003765400caf72f749faa878f4;0391950b012012090909200909200905aa540fb3c6cc010000;1783;1491;6441;5517;1,35E+12;9,00;;;;;12,00;;;;
759186;00000000000000000004fa31ba21bf2240cad8f22ffc15ea14623b579e1932ed;6:08:00;18.10.2022 5:28;1121483;957291;3993356;816414720;30a98000;1,10E+29;ff38d29c82dbec2288eb9e60a8bb4b8b57964f0f139682fc552950d31ba4f725;3049249800;386393970;3,56E+13;0000000000000000000000000000000000000000376560701892e0fd8988404e;0392950b1b4d696e656420627920416e74506f6f6c3836362800ab014ae4d874fabe6d6db711b7e6bd6ed3d3d95461c5d2666304817d72010516acbd4485fbe700d7f6030200000000000000faa700004201000000000000;881;682;6895;2517;1,99E+12;12,00;;;;;4,00;;;;
759187;00000000000000000003145c236f96e1860baf7aa178cb6c10c4ebe412ec5cfc;6:20:00;18.10.2022 5:33;1272474;908617;3998325;939515908;37ffe004;1,10E+29;cdf9ec49da78f2247d50228b3aa3d130d5a5c3b6e82531d64a3901b7fce1b0d9;686550432;386393970;3,56E+13;0000000000000000000000000000000000000000376580d381b2cab1186807a8;0393950b2cfabe6d6d6ee8a2ba0b5aae9d53538cd4c312c86f03ded569c975fd0b945be5f29bbe7c4e10000000f09f909f092f4632506f6f6c2f6b0000000000000000000000000000000000000000000000000000000000000000000000050000e53fb8;1644;1319;7007;4710;4,67E+11;4,00;;;;;26,00;;;;
759188;00000000000000000001582c4d708e43ea51eac7ffc61d870411b9fb61958111;6:24:00;18.10.2022 5:41;1237212;918608;3993036;536870912;20000000;1,00E+29;8c9efba1dd0b9a3e360edb99ba3f409ba299fac74d374064b3e8de10ffd8528f;1875305888;386393970;3,56E+13;00000000000000000000000000000000000000003765a136ead2b464a747cf02;0394950b0488464e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f12ecbed9d9c4210000000000;1068;935;5689;2845;6,56E+11;26,00;;;;;12,00;;;;
759189;00000000000000000004e0afa603d1a4b92d38dbb5dbbc2144e89eb51573022e;6:50:00;18.10.2022 5:45;1479175;839693;3998254;538968068;20200004;1,00E+29;b0fdc2f1644709ee239fb7d608977e1b317216298543df106b139f2687570a9b;1036907024;386393970;3,56E+13;00000000000000000000000000000000000000003765c19a53f29e183627965c;0395950b2cfabe6d6d6459e175bffd542aaf5e9ac504a287d446a93f0bb46c2d05d3cb341320f92d8b10000000f09f909f092f4632506f6f6c2f660000000000000000000000000000000000000000000000000000000000000000000000050016400100;2810;2320;6868;8733;2,73E+12;12,00;;;;;3,00;;;;
759190;00000000000000000004ca16a308bd84373b5009199d3d498bd7be9bbe3ce16e;7:02:00;18.10.2022 5:59;1292097;902038;3998211;536870916;20000004;1,00E+29;fd1a82245fdffd00b1476ed93b5dd9d099b13f28ca4adf1fd8ce72fd69f4e32d;975792497;386393970;3,56E+13;00000000000000000000000000000000000000003765e1fdbd1287cbc5075db6;0396950b2cfabe6d6d7ec269990b0afe11bd72a1bf5d937807a5eb745a13dea42bf8c75d15653a6f2210000000f09f909f092f4632506f6f6c2f66000000000000000000000000000000000000000000000000000000000000000000000005008b2a0000;1898;1565;6536;4941;5,49E+12;3,00;;;;;10,00;;;;
759191;0000000000000000000595ee53ee35287533aba7c5b2baa5cd38fbf8da43f997;7:05:00;18.10.2022 6:08;1050752;980856;3993320;600129536;23c54000;1,00E+29;6edcc7b1fd80c6c5ac6ba4b2056316192ad177242e7f60c8b937c57759495730;3473948281;386393970;3,56E+13;0000000000000000000000000000000000000000376602612632717f53e72510;0397950b1b4d696e656420627920416e74506f6f6c383439b201af005f2081fcfabe6d6de3233183e12c81ebb32decfc94402872bf9db2b5216b7cacbf166c6bac8d3e9802000000000000000000b71c6500000000000000;380;294;5774;918;39314839127;10,00;;;;;1,00;;;;
759192;0000000000000000000654fe877a26ceca65e9ef61fcc7bfb5dc42d791d30af3;7:15:00;18.10.2022 6:20;1238326;918339;3993343;545259520;20800000;1,00E+29;9a31c9ef5f859d972743d66be96b0450fd9b62ae47edeb0a349cea3fb823df9b;2845355378;386393970;3,56E+13;0000000000000000000000000000000000000000376622c48f525b32e2c6ec6a;0398950b1b4d696e656420627920416e74506f6f6c3930376600330162bec973fabe6d6dd08f1ebeb98d5f579a85c388a8ed9cff3e7fe925d84f2b63ddedf6a09fe2b786020000000000000062200000c22a010000000000;1608;1334;6261;4309;1,01E+12;1,00;;;;;0,00;;;;
